Geneid	GeneSymbol
ENSG00000210049.1	 MT-TF
ENSG00000211459.2	 MT-RNR1
ENSG00000210077.1	 MT-TV
ENSG00000210082.2	 MT-RNR2
ENSG00000209082.1	 MT-TL1
ENSG00000210100.1	 MT-TI
ENSG00000210107.1	 MT-TQ
ENSG00000210112.1	 MT-TM
ENSG00000210117.1	 MT-TW
ENSG00000210127.1	 MT-TA
ENSG00000210135.1	 MT-TN
ENSG00000210140.1	 MT-TC
ENSG00000210144.1	 MT-TY
ENSG00000210151.2	 MT-TS1
ENSG00000210154.1	 MT-TD
ENSG00000210156.1	 MT-TK
ENSG00000210164.1	 MT-TG
ENSG00000210174.1	 MT-TR
ENSG00000210176.1	 MT-TH
ENSG00000210184.1	 MT-TS2
ENSG00000210191.1	 MT-TL2
ENSG00000210194.1	 MT-TE
ENSG00000210195.2	 MT-TT
ENSG00000210196.2	 MT-TP
